month_start,avg_rainfall_mm
2007-10-01,14.156535947712417
2007-11-01,6.760254629629629
2007-12-01,17.03275641025641
2008-01-01,22.565
2008-02-01,3.15
2008-03-01,12.45963888888889
2008-04-01,9.0125
2008-05-01,2.175
2008-06-01,6.382777777777778
2008-07-01,4.979924242424243
2008-08-01,7.888108465608466
2008-09-01,9.375740740740742
2008-10-01,22.406944444444445
2008-11-01,29.471339869281046
2008-12-01,1.2328869047619047
2009-01-01,3.0694444444444446
2009-02-01,
2009-03-01,1.125
2009-04-01,
2009-05-01,8.0
2009-06-01,2.897222222222222
2009-07-01,3.7285879629629632
2009-08-01,7.070385154061625
2009-09-01,6.744774305555556
2009-10-01,9.018650793650794
2009-11-01,27.140580618212198
2009-12-01,13.797303921568627
2010-01-01,0.9712962962962962
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,37.11222222222222
2010-06-01,8.418187830687831
2010-07-01,9.002205882352941
2010-08-01,12.815767973856211
2010-09-01,11.041369047619048
2010-10-01,11.89719387755102
2010-11-01,10.150714285714285
2010-12-01,19.333435374149662
2011-01-01,6.435714285714285
2011-02-01,11.071488095238095
2011-03-01,
2011-04-01,8.23611111111111
2011-05-01,11.557142857142859
2011-06-01,15.501122448979592
2011-07-01,5.751501322751323
2011-08-01,19.332556022408966
2011-09-01,14.752809523809525
2011-10-01,16.573761904761906
2011-11-01,30.19333333333333
2011-12-01,24.74
2012-01-01,4.976190476190476
2012-02-01,
2012-03-01,1.6
2012-04-01,
2012-05-01,
2012-06-01,4.389285714285714
2012-07-01,6.294809523809524
2012-08-01,7.460544217687074
2012-09-01,10.566079365079364
2012-10-01,27.648444444444443
2012-11-01,8.19
2012-12-01,23.516666666666666
2013-01-01,
2013-02-01,7.025
2013-03-01,24.48
2013-04-01,0.8500000000000001
2013-05-01,9.1
2013-06-01,8.988888888888889
2013-07-01,9.329537037037037
2013-08-01,10.346315789473683
2013-09-01,13.477254901960785
2013-10-01,11.104206349206349
2013-11-01,16.622884615384613
2013-12-01,10.220833333333333
2014-01-01,0.3
2014-02-01,2.0420000000000003
2014-03-01,
2014-04-01,
2014-05-01,5.809333333333333
2014-06-01,19.04375
2014-07-01,4.172083333333333
2014-08-01,14.332666666666666
2014-09-01,7.093968253968254
2014-10-01,26.170222222222222
2014-11-01,18.527
2014-12-01,14.887424242424242
2015-01-01,3.3019999999999996
2015-02-01,
2015-03-01,
2015-04-01,9.141666666666667
2015-05-01,4.424666666666666
2015-06-01,2.81
2015-07-01,8.792166666666667
2015-08-01,9.384333333333334
2015-09-01,6.82590909090909
2015-10-01,9.650555555555554
2015-11-01,42.10276666666667
2015-12-01,43.530300000000004
2016-01-01,1.2666666666666666
2016-02-01,
2016-03-01,
2016-04-01,
2016-05-01,52.094
2016-06-01,10.474722222222221
2016-07-01,6.709066666666667
2016-08-01,5.988638888888889
2016-09-01,16.372411764705884
2016-10-01,5.131666666666667
2016-11-01,8.097037037037037
2016-12-01,32.53270833333334
2017-01-01,3.0999999999999996
2017-02-01,
2017-03-01,
2017-04-01,
2017-05-01,5.325
2017-06-01,7.06390909090909
2017-07-01,9.759487179487179
2017-08-01,12.29027777777778
2017-09-01,6.584583333333333
2017-10-01,15.438419913419914
2017-11-01,25.717563131313135
2017-12-01,16.798214285714288
2018-01-01,1.9500000000000002
2018-02-01,1.4000000000000001
2018-03-01,0.8375000000000001
2018-04-01,
2018-05-01,
2018-06-01,10.651666666666667
2018-07-01,11.105842051467052
2018-08-01,9.435306637806638
2018-09-01,10.585925925925928
2018-10-01,10.674466089466089
2018-11-01,12.176481481481481
2018-12-01,6.4192857142857145
2019-01-01,
2019-02-01,
2019-03-01,
2019-04-01,
2019-05-01,
2019-06-01,
2019-07-01,12.02063492063492
2019-08-01,9.943405257936508
2019-09-01,13.852748917748917
2019-10-01,15.736772727272728
2019-11-01,7.956630591630592
2019-12-01,14.77440725940726
2020-01-01,13.871818181818181
2020-02-01,1.8
2020-03-01,
2020-04-01,12.587121212121211
2020-05-01,
2020-06-01,4.912514757969304
2020-07-01,11.362681277056277
2020-08-01,6.711212121212121
2020-09-01,11.019346092503987
2020-10-01,17.119341948900768
2020-11-01,26.997484848484852
2020-12-01,19.08818181818182
2021-01-01,19.647643097643098
2021-02-01,5.508333333333333
2021-03-01,
2021-04-01,28.01
2021-05-01,11.695454545454545
2021-06-01,10.906630591630591
2021-07-01,12.122373927242348
2021-08-01,14.412792632204397
2021-09-01,12.188533057851238
2021-10-01,11.788541748655383
2021-11-01,33.80093344155844
2021-12-01,21.60808658008658
2022-01-01,10.639141414141413
2022-02-01,
2022-03-01,
2022-04-01,
2022-05-01,1.6
2022-06-01,
2022-07-01,8.598105258938594
2022-08-01,8.445018037518038
2022-09-01,8.771766364948183
2022-10-01,7.045274498229045
2022-11-01,21.777253190985075
2022-12-01,15.825916149068322
2023-01-01,0.7380036630036629
2023-02-01,0.6133333333333334
2023-03-01,10.018442028985508
2023-04-01,2.1728601807549177
2023-05-01,6.728194444444445
2023-06-01,11.040991612554112
2023-07-01,4.19725040257649
2023-08-01,13.598352506967352
2023-09-01,10.677862465650291
2023-10-01,6.669390613383518
2023-11-01,20.798612848057292
2023-12-01,28.682559397311383
